RK,TEAM,ADJOE,ADJDE,BARTHAG,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,ADJ T.,WAB,Season
176,Nebraska Omaha,108.6,109.7,0.4725,54.4,55,13.5,16.8,24.8,25.6,24.1,27.1,51.8,55.2,39.3,36.5,69.5,-4.7,2019
177,Colorado St.,106.7,107.8,0.4722,54.4,53.1,17,16.2,23.9,27.1,31.9,29.5,55.5,53.5,35.2,35,68.5,-12.9,2019
178,Marshall,106.3,107.3,0.4713,51.9,52.9,16.3,21.5,22.9,33.4,30,33.4,51.9,52.3,34.6,36.1,75.8,-6.2,2019
179,Illinois Chicago,100.3,101.6,0.4644,53.3,48.3,20,17.6,24.9,30.4,27.8,42,54.1,46.8,34.9,33.8,71.6,-10.3,2019
180,Charleston Southern,100.4,101.9,0.459,50,51.4,17.9,21.3,29.3,28.1,27.4,30.9,47.5,49.7,35.6,35.8,70.5,-9.5,2019
181,North Florida,102.4,104.2,0.4502,52.1,48.1,21.8,16.9,29.4,32.7,25.3,30.6,53.2,47.4,33.9,33.2,73.4,-8.1,2019
182,New Mexico,102.7,104.5,0.4489,49.5,51.6,19.4,18.3,29.3,28.6,39.3,37.1,47.8,50.8,34.4,35.5,74.1,-10.2,2019
183,American,101.5,103.5,0.4437,53.2,48.2,18.7,17.7,26.1,27.4,35.8,34.8,55.6,50,32.5,29.2,67.9,-11.3,2019
184,Cal Baptist,105.9,108.1,0.4421,51.6,49.2,17.7,15.3,28.7,29,32.1,40.7,51,47.2,34.9,35.8,69.5,-9,2019
185,UT Rio Grande Valley,97.5,99.6,0.4405,46,49.6,18.2,24.4,26.6,33,43.7,44.8,45.8,49.7,31,33.1,71.6,-8.2,2019
186,La Salle,99.9,102.2,0.4351,47.2,51.3,20.2,19.8,28.9,28.9,28.5,41.3,45.3,51.2,33.1,34.2,70.6,-13.2,2019
187,North Dakota St. ,105.9,108.4,0.4351,53.8,53.6,15.8,14.6,20.7,25.4,32.1,26.2,52.4,52.9,36.8,36.6,66.6,-8.6,2019
188,UC Santa Barbara,103.2,105.6,0.4349,50.3,49.7,16.8,16.6,33.1,26.2,39.5,32.4,49.4,50.8,34.8,31.8,65.9,-6,2019
189,Ohio,98.3,100.6,0.434,48.6,50.8,20,18.5,28.2,27.4,33.2,31.2,50.7,48.9,29.7,35.9,70.8,-8.7,2019
190,Santa Clara,100.1,102.5,0.433,51.6,49.1,20.5,16.3,24.1,28.3,33.9,35.2,49.8,49.9,36.2,31.8,67.8,-7.2,2019
191,Appalachian St.,105.5,108.1,0.4323,51.4,53.8,17.8,17.4,25.9,29.8,37,34.1,51.3,52.8,34.4,37.3,72.8,-14,2019
192,Gardner Webb ,105.5,108.1,0.4316,54.8,50.2,16.8,18.1,22.6,31,39.2,27.7,53.8,49.9,37.7,33.8,68.6,-5.3,2019
193,Campbell,106.4,109.2,0.4258,52.8,54.6,14.8,19.5,23.7,28.9,31.2,36,54.8,53.6,33.8,37.3,67.1,-7.7,2019
194,Presbyterian,107.5,110.4,0.4249,53.5,53.9,14.6,18.3,25.9,27.1,31.5,33.6,50.2,53.9,38,35.9,69,-9.9,2019
195,Stony Brook,96.9,99.6,0.4218,48.2,46,20.5,18.7,33.5,26.3,35.4,34.6,47.8,46.6,32.6,30.1,70.6,-3.9,2019
196,Mercer,102.4,105.4,0.4187,51,52.7,19.3,20.1,28.8,32.3,35.7,34.7,51.2,53.4,33.8,34.6,68.3,-12,2019
197,Winthrop,104.2,107.2,0.4169,54.2,51.3,20.2,15.4,28.7,25.5,30.4,30.3,53.3,51.6,36.7,33.8,74.2,-6.8,2019
198,FIU,101.2,104.4,0.4095,49,53,17.7,23.5,25.6,34.1,37.2,35.7,52.1,53.5,29.8,34.8,79.1,-7.8,2019
199,Hawaii,102.4,105.9,0.4061,52.3,50.8,17.6,17.4,26.9,24.7,31.2,32.9,52.2,50.3,35,34.5,67.5,-8.6,2019
200,Dartmouth,103,106.6,0.4041,51.8,53,17.6,16,23.9,24.8,24.8,27.9,50.6,54.6,35.8,33.1,67.4,-13,2019
201,NJIT,99,102.4,0.4039,50.9,48.7,17.7,18.1,21.6,26.7,39.1,29.9,50.1,48.2,34.8,33,68.1,-6.4,2019
202,Indiana St.,100.8,104.4,0.4025,48.6,51.5,18.6,19.4,23.7,27.2,35.8,38,46.7,52.1,35.6,33.7,70.1,-9.7,2019
203,Columbia,102,105.6,0.4005,51.5,52.1,18,18.9,24.3,27.2,22.4,38.1,50.6,51,35.4,35.8,68.9,-12.5,2019
204,IUPUI,102,105.7,0.4,50.2,52.6,19.6,19.6,34.3,27.8,35.2,33.2,50.5,50.7,33,37,70.4,-10.7,2019
205,South Alabama,102.9,106.7,0.3978,52.9,52.1,19.5,19.7,25.5,31.9,35.1,36.6,51.1,51.3,37,35.6,67.7,-10.9,2019
206,Hartford,106.8,110.7,0.3977,54.2,52.6,17.8,19.3,25.3,31,33.1,29.9,51.5,53.2,38.2,34.4,68.2,-9.2,2019
207,Illinois St.,100.1,103.8,0.3969,49.1,51.3,18.4,18.2,26,26.1,28.6,32.8,49.1,51.5,32.7,34,68.2,-9.2,2019
208,Hampton,106.4,110.4,0.3946,49.1,51.7,14.5,16.6,28.2,27.4,34.7,37.7,47.8,51.4,34,34.8,72.4,-11.7,2019
209,Lamar,103.1,107,0.3941,49.3,52.2,20,19.8,36.2,27.4,42.3,35.7,48.8,52.3,33.6,34.6,69.6,-9,2019
210,Green Bay,101.3,105.3,0.3916,50.7,52.8,16.7,19.1,24.8,30.6,34.7,32.7,50.6,52.1,33.9,35.8,75.3,-8.6,2019
211,Washington St.,104.9,109.1,0.3898,52.8,54.7,19.2,17.1,25.2,29.5,30.3,28.4,51.5,54.9,36.4,36.2,71.8,-12.6,2019
212,Pacific,98.3,102.4,0.3849,47.7,54.2,19.6,19.2,26.8,23.1,40.5,42.2,44.9,54.1,35.6,36.2,66.5,-9.7,2019
213,Iona ,104.7,109.2,0.3834,53,52.3,17.3,18.6,25.7,30.1,37.1,28.8,53.3,50.2,35.1,36.8,72.1,-10.4,2019
214,Cal St. Fullerton,97.9,102.1,0.3807,49.3,48.9,19.1,16.8,24.6,26.5,38.5,35.8,50.5,49.1,31,32.2,71.1,-9.7,2019
215,California,102.6,107,0.3796,48.6,56.9,16.5,20.5,23.3,31.4,34.8,36.1,46.5,56.7,35,38.1,68,-13.7,2019
216,William & Mary,102.2,106.7,0.3789,54.4,52.7,18.3,15.6,24.5,26,31.3,30,55.8,51.1,35,36.9,70,-11,2019
217,Prairie View A&M ,101.5,105.9,0.3786,49,51.2,17.4,24.7,29.7,34.3,43.1,46.2,49.2,53.7,32.4,31.2,72.2,-7.2,2019
218,Rider,100,104.6,0.3725,50.6,53.7,18,22.8,30.8,27.4,39.9,36,50.4,53.6,34,35.9,75.1,-10.1,2019
219,Fairleigh Dickinson ,105.4,110.4,0.3693,54.8,51.7,19.6,20.3,29.8,32.9,35.4,29.6,51.5,51.1,40.5,35.1,68.1,-9.3,2019
220,Florida Gulf Coast,99.9,104.7,0.3676,52.6,52.1,21.2,19.2,25.6,30.8,31.9,27.4,50.7,49.9,36.9,36.8,69.8,-11.2,2019
221,Valparaiso,96.7,101.4,0.3674,48.9,49.9,20.3,18.9,26.7,27.1,32.1,31.7,50.1,49.8,31,33.4,66.4,-12.3,2019
222,Cornell,99.4,104.2,0.3673,51.1,50.5,18.9,17.4,18.8,28.8,33.9,26.8,52.3,50.6,32.9,33.7,69.3,-8.5,2019
223,South Dakota,100.2,105.1,0.3659,50.1,51.7,16.1,17.4,21.5,25.6,35.9,35.2,49.6,50.7,33.9,35.8,68.3,-11.7,2019
224,Weber St.,99.8,105,0.3572,53.2,49,16,15.8,19.2,26.9,37.1,30.9,53.4,49.7,35.2,31.7,72.5,-10.7,2019
225,Long Beach St.,100.1,105.4,0.3555,47.6,51.1,19,18.9,28.9,33,40.8,30.2,46.3,51.6,33.8,33.5,73,-11.8,2019
226,Massachusetts,102.6,108.4,0.3454,51.1,51.2,20.2,16.8,31.5,27.1,31.3,41.4,50.2,50.6,35,35,69,-13.8,2019
227,Cal St. Bakersfield,101.5,107.5,0.3427,47.3,51.8,19.5,20.2,38,29.4,29.3,52.2,47,49.8,31.9,36.5,66.8,-8.7,2019
228,Little Rock,98.4,104.1,0.3415,54.4,52.3,22.6,19.4,24.3,27.2,42.5,40.3,54.9,51.7,35.6,35.3,71.9,-14.9,2019
229,Boston University,103.5,109.6,0.34,53.4,54.6,18.8,18.2,28.6,25.1,24.8,32.5,54.5,56.4,34.2,34.7,67.8,-13.1,2019
230,Southeastern Louisiana,99.1,105,0.3393,50.4,50.2,24.1,20.9,32.5,28.2,37.2,39.3,50.4,50.6,33.6,32.9,66.8,-10.7,2019
231,Chattanooga,101.5,107.6,0.339,51.5,52.9,19.1,15.4,24.6,28.4,24.2,31.6,49.3,52,36.3,36.4,67.9,-12.5,2019
232,Air Force,99.8,105.8,0.3372,51.3,53.6,19.3,17.8,23.2,24.1,28.3,28.6,53.1,53.6,32.3,35.7,67.8,-10.7,2019
233,Army,96,101.8,0.337,49.6,53.3,16.5,18.7,21.6,22.9,24.3,28.4,51,53.4,31.8,35.4,71.2,-14,2019
234,High Point,98,104,0.3351,49.1,50.3,20.4,16.3,34.1,25.5,33.8,29.1,51,51.5,30.3,32.6,65,-10.6,2019
235,Arkansas St.,102.4,108.7,0.3339,47.2,51.6,19.4,17.1,33.7,29.8,37.9,43.7,46.5,50.2,32.3,36,69.5,-12.5,2019
236,Quinnipiac,103.9,110.5,0.3304,52.6,50.4,19.7,15.9,29.8,29.3,37.8,26.5,48.1,50,37.6,34.1,68.1,-10.9,2019
237,Detroit,105.4,112.2,0.327,49.7,54.4,16.3,19.8,29.3,36.4,31,32.7,46.7,56.2,35.6,34.5,70.1,-12.5,2019
238,Eastern Washington,100.1,106.6,0.3261,50.3,52.5,17.1,16.6,24.6,23.6,27,34.8,48.9,50.1,34.8,37.4,69,-12,2019
239,UMKC,99.5,106.1,0.3252,49.8,53.6,17.2,20.9,23.5,32.3,32.4,36.7,47.8,53,35.2,36.5,68,-13.6,2019
240,Siena,100,106.6,0.3246,51.5,52.6,15.6,18,23.6,28.5,24.7,27.3,52.1,51.9,33.9,36,61.9,-11.9,2019
241,Fordham,96.4,102.8,0.3227,46.8,49.5,16.4,19.1,25.1,28,24.5,36.9,44.7,49.6,33,32.9,66.3,-14.8,2019
242,Marist,100.7,107.5,0.3219,52.3,53,18.9,19.3,24.3,26.6,32.2,35.9,50.8,52.6,36.3,35.5,65.9,-15.2,2019
243,Eastern Kentucky,98.5,105.1,0.3211,47.8,53.2,18.2,21.5,27.3,31.1,32.6,39.7,47.7,54.4,32,34,78.6,-11.5,2019
244,St. Francis PA,105,112.2,0.3184,48.8,53.8,17.4,16.9,33.4,28.6,35,31.8,46.5,54.9,35.3,34.8,69.5,-9,2019
245,Western Michigan,98.4,105.1,0.3183,48,52.1,21.7,15.2,29.7,27.6,36.7,29.9,49.4,50.1,30.5,36.9,70.6,-15.1,2019
246,UMBC,94.8,101.3,0.3181,48.4,51.4,18.3,22.9,24.5,24.4,31.1,32.9,49.5,51.8,31.3,34,66.2,-8.1,2019
247,Middle Tennessee,97,103.7,0.3174,46.7,50.8,22.8,17.5,32.3,28.1,29.6,34.2,45.7,50.5,32.3,34.1,69.1,-13.2,2019
248,Troy,101.2,108.3,0.3141,51,52.7,19.9,17.1,27.2,31.1,31.7,32.8,51.7,50.1,33.2,37.8,68.5,-11.7,2019
249,Holy Cross,99.5,106.6,0.3112,52.7,53.8,16.1,22.1,20.6,32.9,23.1,26.8,52.5,52.2,35.4,37.3,65,-11.3,2019
250,Youngstown St.,103.7,111.2,0.31,49.6,53.6,18.5,16.2,33.5,28.9,23.1,38.5,48.5,55,34.1,34.2,68.6,-14.2,2019
251,Rice,101.5,108.8,0.31,50.1,51.6,18.9,14.9,26.6,24.4,38.5,30.6,48.1,51.5,35.3,34.5,71.7,-12.9,2019
252,East Carolina,98.3,105.5,0.3093,46.1,51,19,19.5,28.2,31,35.6,41.8,47.7,52,28.4,32.9,69.9,-12.8,2019
253,UC Davis,95.5,102.4,0.3088,49,52.8,19.9,21.1,22.1,27.7,29.7,37.7,49,53.3,32.7,34.6,67.3,-14,2019
254,North Dakota,97.4,104.6,0.3045,51.3,52.5,17.9,17.3,21,25.4,27.2,30,49.6,52.2,36,35.3,71.1,-12.8,2019
255,Cal St. Northridge,103.5,111.2,0.3043,51.5,51.6,16.7,17.1,28.4,32.5,31.8,32.2,50.3,48.2,36.1,38.4,72.3,-14.7,2019
256,The Citadel,105.7,113.8,0.2991,52,56.6,17.3,16.9,25.1,31.8,25.8,31.7,54.2,57.5,33.5,37.1,75.3,-10.8,2019
257,LIU Brooklyn,97.5,105.1,0.298,50.7,48.2,20.1,18.5,28.3,29.5,34.4,35.4,50.3,47.7,34.1,32.8,72.3,-13,2019
258,Evansville,97.9,105.5,0.2971,49.4,50,18.5,17.1,18.9,26.2,37.5,37.5,47.9,49,34.2,34.8,71,-14.6,2019
259,Sacred Heart,102.3,110.3,0.2964,51.7,51.8,19.9,16.5,31.8,27,38.1,31.3,51.1,49.3,35.2,37.3,73.4,-13.1,2019
260,Delaware,103.5,111.8,0.2921,53.3,52.8,17.2,14.9,24.2,28.8,31.2,28.6,50.9,49.9,37.8,38.4,64.8,-10.9,2019
261,Texas Southern,101.8,110.1,0.2901,50.2,51.7,19.8,19.9,32.5,31.3,41.2,33.9,51.6,50.4,31.9,36.1,75.9,-6.7,2019
262,Morehead St.,101.1,109.6,0.2837,48.4,52.5,17.2,17.7,27.8,31.6,33.9,28.4,47.1,51.3,33.6,36.4,68.8,-12.9,2019
263,UNC Wilmington,104.1,113.1,0.2784,50.5,56,18.5,14.5,31.7,26.7,32.8,31.9,49.3,54.4,35,38.8,70.6,-16.6,2019
264,New Orleans,96.3,104.6,0.2779,48.2,49.7,21.8,22.6,32.5,34.4,36.7,39.2,46.9,50.1,34.2,32.7,69.6,-8.6,2019
265,St. Francis NY,95.5,103.7,0.2776,48.4,48.7,17.7,19.2,27.1,28.3,29,38.8,47.3,49.2,33.3,31.7,69.7,-11.6,2019
266,Loyola MD,100.4,109.2,0.2753,51.6,55.6,19.5,20.6,27.9,29.6,33.6,32.3,51.8,53.7,34.2,39.2,70.1,-15.1,2019
267,Oral Roberts,103.5,112.6,0.2751,52.2,54.1,20.4,14.5,29.8,27.1,26.1,32.7,50.7,51.3,36.4,39,68.5,-14.5,2019
268,Navy,97,105.5,0.2749,46.8,52.1,20.7,16.6,31.8,25.5,30.5,29.7,46.4,53.2,31.7,33.8,68.2,-13.5,2019
269,Drexel,103.3,112.7,0.2679,51.3,55.6,16.6,14.6,29.2,26.3,30.6,30.3,50.9,54.7,34.7,38.2,70.7,-13.5,2019
270,Tulane,96.4,105.2,0.2676,47.1,50.6,21,15.1,27,30.9,32.8,31.6,46.7,50.7,31.8,33.6,71.2,-17.7,2019
271,Albany,97.7,106.7,0.2659,49.3,52.1,20.9,18.5,27.3,28.3,32.5,30.2,46.9,51,34.8,35.9,67.3,-15.8,2019
272,Houston Baptist,102.2,111.6,0.2651,49.6,55.7,19.5,20.2,33.8,29.6,42.4,35.7,49.3,54.3,33.4,39,75.1,-12.9,2019
273,George Washington,95.5,104.3,0.265,45.8,51.2,18.2,17.1,23.4,28.5,32.6,30.2,45.3,49.8,31.1,35.6,68.8,-15.7,2019
274,Robert Morris,95.1,103.9,0.2645,48.9,51.9,21.3,22.4,29.9,27.8,32.8,39,47.1,52.3,34.5,34.2,67.6,-11.4,2019
275,Milwaukee,98.4,107.6,0.2645,48.1,51.7,18,15.3,26.7,28.3,28.2,36.3,46.5,53,33.8,33.3,67.5,-16.3,2019
276,Western Carolina,100.3,109.7,0.2619,53.6,55.3,25.1,14.7,28.4,25.7,34.8,39.7,52.3,57.8,36.8,34.1,71.1,-16.4,2019
277,Montana St.,105.5,115.5,0.2597,53.4,57.1,17.1,17.2,26.3,26.6,34.9,28.3,51.1,57.4,37.6,37.8,71.4,-12.3,2019
278,Sacramento St.,96.5,105.7,0.2596,48.7,52.6,19.1,21.4,28.2,27.1,33.5,36.8,48.3,50.8,33.1,37,69,-12.6,2019
279,Tennessee Martin,104.4,114.4,0.2595,50.4,57.1,18.8,19.3,31.5,34.7,26.4,27.2,49.9,56.7,34.1,38.5,69.7,-13.4,2019
280,Norfolk St.,96.2,105.4,0.2589,50.3,49,20.6,20.8,26.7,28.8,39.5,43.4,46.9,47.7,37.3,33.8,70.3,-9,2019
281,Jacksonville,97.1,106.4,0.258,49.6,52.1,19.9,18.2,28.3,27.4,30.5,28.8,51,50.3,31.2,37,72.5,-14.4,2019
282,Cleveland St.,101.2,111,0.257,51.5,51.6,18.5,16.8,26.3,33,31.7,34,48.9,53.2,36.5,32.9,70.7,-15.3,2019
283,Towson,99.9,109.5,0.257,47.9,52.1,18.8,15.2,35.2,27.3,28.1,33,47.6,50.8,32.6,35.7,64.8,-16.8,2019
284,Canisius,101.2,111,0.2569,50.5,53.6,18.6,20.5,27,31.9,31.4,36.9,52,53.3,32.4,36,69.1,-11.7,2019
285,Southern Utah,96.4,105.7,0.2567,50.5,51,19,17.1,23.1,24.9,37.7,39.1,50,48.2,34.2,36.8,72.2,-12,2019
286,James Madison,100.2,110,0.2563,50.2,52.9,18.8,16.4,30.1,29.4,33.4,34,47.5,52.6,36.6,35.7,66.4,-14.1,2019
287,Fairfield,95.6,105,0.2528,50.7,52.6,20.7,21.4,26.1,28.9,23.9,40.1,49.5,51.2,35,36.6,69.3,-17.8,2019
288,Portland St.,101.1,111.3,0.2479,46.9,53.7,19.4,18.8,38.7,28.5,37.3,43.3,48.3,54.6,29.8,34.8,70.5,-12.1,2019
289,Monmouth,92.7,102.2,0.2462,45.8,51.1,20.6,21.2,29.3,28.5,40.3,43.2,46.4,48.4,29.7,35.8,68.8,-15.4,2019
290,Western Illinois,97,107,0.2457,49.8,52.2,16.3,14.5,22.6,25.5,23.2,28.1,45.9,48.4,38.2,38.9,68.7,-16,2019
291,Grambling St.,93.9,103.5,0.2452,49.6,44.9,22.1,18.2,26.1,29.7,44.1,42.9,45.1,44.6,39.7,30.2,70.8,-11.6,2019
292,Texas A&M Corpus Chris,94.3,104,0.2437,47.9,48.6,22.3,20.1,31.1,27.5,29.8,41.7,47.6,46.1,32.3,34.9,66.3,-13.6,2019
293,VMI,101.2,111.8,0.2422,50.1,56.9,16.5,16.9,21.7,27.6,29.2,32,47.6,56.8,35.4,38.1,73,-13,2019
294,Elon,99.1,109.5,0.2408,52,53.6,18.4,15.2,22.4,28.3,24.3,29.4,52.2,51.5,34.6,37.8,69.5,-16.1,2019
295,UMass Lowell,101.8,112.9,0.2345,53.7,52,19.6,17.9,27,29.8,34.1,32.6,55.1,54.7,34.3,31.6,71.6,-13,2019
296,North Carolina Central ,96.9,107.7,0.2301,49.8,49.7,23,17.7,34.6,27,33.4,30.9,51.7,50.9,31.1,31.6,66.5,-11,2019
297,North Alabama,94.1,105,0.2221,44.5,52.6,19.3,17.2,27.3,25.1,30.8,38,44.4,52.6,29.7,35.1,69.9,-14.7,2019
298,Eastern Illinois,99.2,110.7,0.2207,49.6,53.6,18.8,18.4,29.2,30.5,28.7,33.1,46.7,50.3,36.2,39,68.3,-12.3,2019
299,Central Arkansas,98.7,110.3,0.2175,49.1,51.9,19.7,18,24.5,30.9,34.2,34.3,46.3,51.2,35.3,35.3,72,-13.2,2019
300,UTEP,89.2,99.7,0.217,45.7,49.4,22.8,19,26.7,26.7,34.7,32.9,44.3,46.6,32,36.2,69.3,-15.3,2019
301,Nicholls St.,98.6,110.4,0.2132,50.1,51,17.2,18.1,23.5,33.6,21.9,36,45.4,53.5,37,30.7,70.2,-12.6,2019
302,Longwood,95.2,106.7,0.2125,51.5,49.9,20.9,17.7,24.5,25.3,34,33.6,50.8,49.5,34.9,33.6,68.4,-13.3,2019
303,Lafayette,100.5,112.7,0.212,52.6,54.7,18.7,15.3,22.2,26.7,24.5,31.2,49.2,52.9,38.3,38.6,70.2,-15.7,2019
304,Tennessee St.,97.3,109.1,0.2115,49.1,54.3,22.7,20.3,28.7,28.4,36.2,54,49.3,52.6,32.6,38.4,71,-14.5,2019
305,North Carolina A&T,95,107,0.2029,51.1,48.8,19.4,20.7,27.1,34.7,31.1,32,51,49.5,34.1,31.7,67.3,-8.5,2019
306,Wyoming,94.3,106.4,0.2006,49.1,51.7,19.9,17.4,15.9,28.8,39.1,34.4,47.1,51.6,34.5,34.6,69.9,-17.5,2019
307,Charlotte,95.1,107.3,0.1997,48.1,51.3,22,17.9,22.3,26.4,36.3,32.6,49.2,49.9,31.1,35.5,65.9,-15.3,2019
308,Bethune Cookman,92.9,105,0.1976,48.3,47.8,21.5,19.7,33.5,31.5,37.1,36.6,48.3,48.7,32.4,30.9,73.3,-13.2,2019
309,Northern Arizona,99.2,112.1,0.197,50.3,55,17,16.6,25.8,26.5,33.8,29.7,49.2,55.9,34.6,35.8,69.9,-16.7,2019
310,Denver,98.5,111.6,0.1919,50.2,56.5,19.7,15.7,26.4,22.9,26.2,28.3,47.8,51.7,36.2,41.8,68.8,-16.1,2019
311,Niagara,101.4,114.9,0.1911,49.2,53.4,17.3,16.2,27.1,26.2,33.3,25.3,46.1,51.3,35.9,38,71.1,-15.6,2019
312,Howard,101.2,114.8,0.1893,48.5,52.1,17,20,29.8,33.1,33.9,37.9,45.6,51.4,36.8,35.5,72.4,-12.9,2019
313,Idaho St.,102.5,116.6,0.1855,52,56.1,17.6,15,25.8,29.8,28.8,30.6,50.4,54.2,36.2,39.6,68.3,-14.3,2019
314,Saint Peter's,93.7,106.8,0.1824,48.7,51.2,23.3,18.7,29.9,27.8,34.8,38.5,48.8,46.7,32.5,38.6,64.9,-17.1,2019
315,Wagner,92.8,106,0.179,44,51.1,20.8,19.8,33.4,28.9,33.8,46.5,43.1,49.9,30.1,35.2,65.1,-13.4,2019
316,Mount St. Mary's,94.9,108.7,0.1728,47.9,52.1,19,17.8,25.1,31.5,33.9,34.8,48.7,51.1,31.2,35.8,68.7,-16.8,2019
317,Stephen F. Austin,94.7,108.6,0.1713,48.4,52.6,20.5,21.5,29.1,32.9,36.2,36.1,47.6,49.9,33.3,37.4,70,-11.8,2019
318,Southeast Missouri St.,96.2,110.5,0.1681,50.4,52.7,20.2,17.4,25.6,28.3,29.1,33.5,47.4,55.7,36.6,32.3,69.2,-15.6,2019
319,UC Riverside,97.2,112,0.1642,51.2,54.4,20.3,16,25.1,26.5,22.7,33.4,47.2,53.7,38,37.2,64.8,-18.2,2019
320,Florida A&M,88.1,101.6,0.1625,49.1,48.5,24.6,21.7,27.9,32.4,31.1,40.5,46.9,50.4,36.4,30.2,66.3,-14.2,2019
321,Portland,93.3,108.1,0.1555,47.3,51.8,19.9,16.3,20.3,30.1,39,34.6,45.8,49.2,32.9,37.1,68.4,-18,2019
322,Bryant,98.5,114.3,0.1539,49,54.9,18.4,18.6,26.6,30.2,36.8,35.4,49.2,52.8,32.5,38.8,69.2,-16.2,2019
323,Jackson St.,89.8,104.4,0.1506,44.6,49.2,20.4,20.7,28.7,27,34.3,44,45.9,46.8,27.9,35.5,67,-14.6,2019
324,Manhattan,89.2,103.8,0.1499,47.4,51,24.1,23.5,30.6,30.3,33.3,45.6,45.6,48.6,33.2,36.1,63.3,-17.4,2019
325,Central Connecticut,95.1,111.3,0.1417,47,53,19.8,18.1,29.6,29.9,34.1,37.2,45.8,51.5,32.8,36.6,70.5,-15.3,2019
326,McNeese St.,96.8,113.5,0.1376,49.8,54.2,21.3,17.7,29.7,31.9,38.8,29.3,51.3,53.8,31,36.5,67.5,-16.4,2019
327,SIU Edwardsville,95.5,112.1,0.1363,46.8,56.6,18.7,18.9,28.5,28.5,34.6,39.3,47.6,56.8,30.3,37.5,70.8,-16.5,2019
328,Binghamton,95.7,112.4,0.1359,49.5,52.3,18.5,16.7,20.9,31.7,24.3,25.2,48.4,49,33.9,38.4,67.2,-17.5,2019
329,Stetson,95.8,112.9,0.1318,45.5,54.5,17.5,18,27.9,32,25,33,45,54.2,31,36.6,70.7,-18,2019
330,Tennessee Tech,88.2,104,0.1306,46.1,51.1,22.8,19.2,27.9,32.9,36.3,33.2,43.9,51.1,33.6,34.1,69.6,-16.5,2019
331,Cal Poly,97,114.6,0.1279,47.2,52.6,17,15.6,26.1,31.4,25.8,38.1,46.6,51.5,32,36.5,67.4,-18.6,2019
332,Arkansas Pine Bluff,93.8,111.2,0.1239,48.4,51.6,22.1,19.7,29.1,30.7,42.4,45,47,50.8,34,35.5,67.1,-14.1,2019
333,Maine,93.2,110.9,0.1198,48.6,55.3,22.2,19.1,25.9,27.2,25.6,38.6,49.9,52.7,31,38.7,65.3,-20.9,2019
334,Southern,92.6,110.3,0.1179,48.9,54.9,23.2,22.2,30.2,32.9,34.6,50.5,48.8,54.8,32.6,36.7,67.5,-19.2,2019
335,Kennesaw St.,91.1,109,0.1126,40.9,53.7,19,17.1,29.2,30.8,30.1,27.7,39.1,53.7,31.4,35.9,69.6,-18.7,2019
336,Alabama St.,93.4,111.9,0.1104,46.1,53,21,21.2,31.6,32.4,37.4,36.9,44.7,53.6,32.1,34.7,68.5,-13.8,2019
337,USC Upstate,92.2,111.6,0.0996,47.4,53.1,19.9,18.2,24.7,31.3,25.3,39,46.8,54,32.1,34.3,69.5,-21.1,2019
338,San Jose St.,92.6,112.3,0.0978,46,56.1,21.9,15.4,27.4,28.7,34.8,26.9,44.1,56.3,33,37.3,71,-20.3,2019
339,South Carolina St.,97,118.1,0.094,47.2,56.4,20.8,20.4,31.6,30.2,39.7,40,46.5,57.1,32.4,36.9,68.3,-20.3,2019
340,Morgan St.,91.5,111.5,0.0934,43.7,53.4,17.9,23.9,31.8,35.2,34.3,39.9,41.5,52.4,33.1,36.7,73.6,-16.2,2019
341,Incarnate Word,97.4,118.7,0.0931,51.9,59.3,24.1,19.7,23.1,32.7,34.8,39.1,51.4,61.2,35.1,37.6,66.4,-20.1,2019
342,Northwestern St.,89.3,109.1,0.0911,44.7,51.2,22.7,19.5,28.9,34.7,33.6,36.5,46.2,48.1,28,37.5,69.9,-14.9,2019
343,Savannah St.,94.3,117.3,0.0756,48,53.8,19.9,19.3,28,34.6,25.2,33.3,53.7,53.5,29.2,36.1,77.7,-15.1,2019
344,Idaho,94.3,118.1,0.0702,50.3,53.7,20,13.3,24.2,32,28.2,33.1,46.5,55.4,37.6,34.3,66.5,-22.4,2019
345,Coppin St.,87.3,109.4,0.0697,45.5,50.2,23.3,16.7,26,28.9,37.7,33.6,47.7,47.1,28.6,36.5,71.7,-18.2,2019
346,UNC Asheville,92.7,116.3,0.0689,46.2,55.7,23.5,18.2,27.7,37.1,26.3,33.7,45.2,56.7,31.7,36.2,63.7,-20.1,2019
347,Alabama A&M,87.1,109.6,0.0664,45.8,53.7,22.3,21,28,32.1,25.1,38.8,45,54.1,31.6,35.3,67.1,-22.7,2019
348,Mississippi Valley St.,89.6,113.4,0.0622,41.9,54.1,18.5,17.5,28.4,31.7,33.7,32,40.1,51.4,31,39.1,70.6,-20.2,2019
349,New Hampshire,83.5,106.1,0.0598,44,51.5,18.4,16.9,21.5,24.7,21.9,38,39.4,52.1,32.6,33.6,67.1,-20.3,2019
350,Alcorn St.,88.7,112.8,0.0594,45.7,52.7,24.1,18.2,30.1,31.5,30.5,36.5,45,55.3,31.3,32.1,67.1,-16.8,2019
351,Chicago St.,88.5,117,0.0387,44.2,57.8,22.5,16.7,22.1,33.9,33.1,33.9,43.5,57.9,30.7,38.5,71.9,-20.7,2019
