rank,team,rating,season
180. ,Campbell,0.479584,2019
181. ,Seattle,0.4792,2019
182. ,Winthrop,0.477619,2019
183. ,Prairie View,0.477273,2019
184. ,Hawaii,0.471149,2019
185. ,Pepperdine,0.469241,2019
186. ,Wisc-Green Bay,0.467336,2019
187. ,Cornell,0.464498,2019
188. ,UMBC,0.463734,2019
189. ,Vanderbilt,0.463318,2019
190. ,New Mexico,0.455154,2019
191. ,N Dakota St,0.454108,2019
192. ,Texas Southern,0.449915,2019
193. ,Hartford,0.449175,2019
194. ,North Florida,0.448265,2019
195. ,Fairl Dcknsn,0.442559,2019
196. ,Delaware,0.442434,2019
197. ,Holy Cross,0.442257,2019
198. ,Pacific,0.440152,2019
199. ,CS-Fullerton,0.439933,2019
200. ,William & Mary,0.438729,2019
201. ,CS-Bakersfield,0.436999,2019
202. ,Lamar,0.429612,2019
203. ,St Francis (PA),0.42791,2019
204. ,Oakland,0.426241,2019
205. ,Weber St,0.424012,2019
206. ,New Orleans,0.423678,2019
207. ,Valparaiso,0.423017,2019
208. ,Coastal Car,0.422268,2019
209. ,S Alabama,0.420462,2019
210. ,Illinois-Chi,0.418159,2019
211. ,Iona,0.417879,2019
212. ,Calif Baptist,0.416456,2019
213. ,Air Force,0.413675,2019
214. ,IPFW,0.410891,2019
215. ,Rider,0.409681,2019
216. ,Norfolk St,0.409209,2019
217. ,Siena,0.404485,2019
218. ,Boise St,0.402292,2019
219. ,Long Beach St,0.400381,2019
220. ,NC A&T,0.396219,2019
221. ,Washington St,0.395513,2019
222. ,Richmond,0.394786,2019
223. ,FL Gulf Coast,0.39462,2019
224. ,Canisius,0.393349,2019
225. ,Eastern Wash,0.392334,2019
226. ,IUPUI,0.392217,2019
227. ,High Point,0.392032,2019
228. ,American,0.390742,2019
229. ,Southeastern LA,0.388153,2019
230. ,Presbyterian,0.387555,2019
231. ,Colorado St,0.383452,2019
232. ,ECU,0.382825,2019
233. ,Drexel,0.379223,2019
234. ,California,0.378692,2019
235. ,Quinnipiac,0.378001,2019
236. ,Rice,0.377625,2019
237. ,Charelston Sou,0.373059,2019
238. ,Arkansas St,0.371859,2019
239. ,E Kentucky,0.370678,2019
240. ,UMass,0.366237,2019
241. ,MTSU,0.364607,2019
242. ,Troy,0.364459,2019
243. ,La Salle,0.361415,2019
244. ,Boston U,0.360418,2019
245. ,Citadel,0.359926,2019
246. ,Navy,0.357209,2019
247. ,Mercer,0.356598,2019
248. ,Detroit,0.355197,2019
249. ,Robert Morris,0.355023,2019
250. ,Southern Utah,0.354756,2019
251. ,Morehead St,0.353104,2019
252. ,St Francis (BKN),0.351354,2019
253. ,Portland St,0.350865,2019
254. ,James Madison,0.349627,2019
255. ,Montana St,0.347126,2019
256. ,E Illinois,0.338949,2019
257. ,Evansville,0.337793,2019
258. ,UT-Chattanooga,0.335832,2019
259. ,UMKC,0.333888,2019
