Rank,Team,Rating,Season
1,Duke (29-5),24.8,2019
2,Gonzaga (30-3),24.6,2019
3,Virginia (29-3),23.9,2019
4,N Carolina (27-6),22.8,2019
5,Michigan St (28-6),21.7,2019
6,Michigan (28-6),19.7,2019
7,Tennessee (29-5),19.6,2019
8,Kentucky (27-6),19.6,2019
9,Texas Tech (26-6),18.6,2019
10,Purdue (23-9),18.2,2019
11,Auburn (26-9),17.7,2019
12,VA Tech (24-8),17.4,2019
13,Nevada (29-4),16.7,2019
14,Wisconsin (23-10),16.4,2019
15,Florida St (27-7),16.2,2019
16,Kansas (25-9),16.2,2019
17,Iowa State (23-11),16,2019
18,Houston (31-3),15.8,2019
19,Louisville (20-13),15,2019
20,Villanova (25-9),15,2019
21,Miss State (23-10),14.8,2019
22,Kansas St (25-8),14.5,2019
23,LSU (26-6),14.4,2019
24,Marquette (24-9),14.3,2019
25,Buffalo (31-3),14.3,2019
26,Maryland (22-10),14,2019
27,Florida (19-15),13.6,2019
28,NC State (23-11),13.6,2019
29,Clemson (20-13),13.1,2019
30,Cincinnati (28-6),12.9,2019
31,Syracuse (20-13),12.9,2019
32,Texas (17-16),12.8,2019
33,Oklahoma (19-13),12.6,2019
34,Wofford (29-4),12.4,2019
35,Indiana (18-15),12,2019
36,Oregon (23-12),12,2019
37,Nebraska (18-16),11.9,2019
38,Iowa (22-11),11.8,2019
39,St Marys (22-11),11.6,2019
40,Ohio State (19-14),11.6,2019
41,Creighton (19-14),11.4,2019
42,Utah State (28-6),11.2,2019
43,Baylor (19-13),11.1,2019
44,VCU (25-7),11,2019
45,TX Christian (20-13),10.8,2019
46,Washington (26-8),10.6,2019
47,Mississippi (20-12),10.6,2019
48,Penn State (14-18),10.5,2019
49,Arizona St (22-10),10.3,2019
50,Central FL (23-8),10.3,2019
51,Seton Hall (20-13),10.1,2019
52,Minnesota (21-13),9.9,2019
53,Arkansas (18-15),9.4,2019
54,Butler (16-16),9.1,2019
55,Belmont (27-5),9.1,2019
56,Alabama (18-15),9,2019
57,Murray St (27-4),9,2019
58,N Mex State (30-4),8.9,2019
59,Miami (FL) (14-18),8.8,2019
60,Xavier (18-15),8.7,2019
61,St Johns (21-12),8.6,2019
62,Lipscomb (26-7),8.6,2019
63,Colorado (22-12),8.6,2019
64,Dayton (21-12),8.5,2019
65,Fresno St (23-9),8.4,2019
66,Memphis (22-13),8.2,2019
67,Providence (18-16),8.1,2019
68,Northwestern (13-19),8,2019
69,S Carolina (16-16),7.6,2019
70,USC (16-17),7.5,2019
71,Arizona (17-15),7.3,2019
72,Georgetown (19-13),7.2,2019
73,Furman (25-7),7.2,2019
74,Oregon St (18-13),7.2,2019
75,Toledo (25-7),7.2,2019
76,Temple (23-10),7.2,2019
77,Missouri (15-17),7.1,2019
78,San Fransco (21-10),7.1,2019
79,W Virginia (14-20),7,2019
80,Texas A&M (14-18),6.9,2019
81,UC Irvine (30-5),6.8,2019
82,Northeastrn (23-10),6.8,2019
83,Notre Dame (14-19),6.7,2019
84,Davidson (24-10),6.7,2019
85,Illinois (12-21),6.7,2019
86,S Dakota St (24-9),6.5,2019
87,UCLA (17-16),6.5,2019
88,Rutgers (14-17),6.4,2019
89,San Diego St (21-13),6.3,2019
90,Hofstra (27-8),6.3,2019
91,BYU (19-13),6.3,2019
92,Oklahoma St (12-20),6.3,2019
93,Vermont (27-6),6.1,2019
94,Wichita St (19-14),6.1,2019
95,Yale (22-7),6.1,2019
96,Pittsburgh (14-19),6,2019
97,E Tenn St (24-9),5.7,2019
98,DePaul (15-15),5.7,2019
99,Utah (17-14),5.6,2019
100,S Methodist (15-17),5.5,2019
101,Connecticut (16-17),5.5,2019
102,San Diego (21-15),5.4,2019
103,NC-Grnsboro (29-6),5.4,2019
104,Loyola-Chi (20-14),5.4,2019
105,GA Tech (14-18),5.1,2019
106,Saint Louis (23-12),5.1,2019
107,Boston Col (14-17),4.9,2019
108,Stanford (15-16),4.8,2019
109,Liberty (28-6),4.8,2019
110,Georgia (11-21),4.7,2019
111,Montana (26-8),4.6,2019
112,Grd Canyon (20-13),4.5,2019
113,GA Southern (21-12),4.4,2019
114,Old Dominion (26-8),4.4,2019
115,N Kentucky (26-8),4.4,2019
116,Georgia St (24-9),4.3,2019
117,St Bonavent (18-16),4.1,2019
118,W Kentucky (20-14),4.1,2019
119,Boise State (13-20),4,2019
120,U Penn (19-12),3.8,2019
121,Rhode Island (18-15),3.6,2019
