Rank,Team,Rating,Season
122,Tulsa (18-14),3.6,2019
123,Utah Val St (25-9),3.6,2019
124,Col Charlestn (24-9),3.6,2019
125,Akron (17-16),3.4,2019
126,Harvard (18-11),3.4,2019
127,Ball State (16-17),3.2,2019
128,Drake (24-9),3.1,2019
129,Jksnville St (24-9),3,2019
130,Vanderbilt (9-23),2.8,2019
131,Wright State (21-14),2.8,2019
132,Bowling Grn (22-12),2.8,2019
133,S Florida (19-13),2.7,2019
134,S Mississippi (20-12),2.7,2019
135,S Illinois (17-15),2.5,2019
136,Texas State (24-9),2.5,2019
137,Austin Peay (22-11),2.5,2019
138,Central Mich (23-11),2.1,2019
139,Loyola Mymt (20-11),2.1,2019
140,LA Tech (20-13),1.9,2019
141,Radford (22-11),1.8,2019
142,Bucknell (21-12),1.8,2019
143,UNLV (17-14),1.7,2019
144,Colgate (24-10),1.7,2019
145,LA Monroe (18-15),1.5,2019
146,Geo Mason (18-15),1.4,2019
147,N Illinois (17-17),1.3,2019
148,Kent State (22-10),1.1,2019
149,North Texas (21-12),1,2019
150,Brown (19-11),1,2019
151,Wake Forest (11-20),1,2019
152,UAB (20-14),0.9,2019
153,UCSB (22-10),0.6,2019
154,Bradley (20-14),0.6,2019
155,New Mexico (14-18),0.5,2019
156,LA Lafayette (19-13),0.4,2019
157,Marshall (20-14),0.3,2019
158,N Iowa (16-18),0.3,2019
159,Pepperdine (16-18),0.3,2019
160,St Josephs (14-19),0.3,2019
161,Miami (OH) (15-17),0.1,2019
162,Duquesne (19-13),0.1,2019
163,Stony Brook (24-8),0.1,2019
164,Missouri St (16-16),0.1,2019
165,Abl Christian (27-6),0.1,2019
166,N Colorado (21-11),0,2019
167,TX-Arlington (17-16),-0.1,2019
168,TX-San Ant (17-15),-0.2,2019
169,Coastal Car (15-16),-0.2,2019
170,Illinois St (17-16),-0.3,2019
171,E Michigan (15-17),-0.3,2019
172,Lehigh (20-11),-0.4,2019
173,Colorado St (12-20),-0.5,2019
174,Valparaiso (15-18),-0.5,2019
175,Richmond (13-20),-0.5,2019
176,IPFW (18-15),-0.6,2019
177,Rider (16-15),-0.6,2019
178,Samford (17-16),-0.6,2019
179,Princeton (16-12),-0.7,2019
180,Neb Omaha (21-11),-0.7,2019
181,CS Fullerton (16-17),-0.8,2019
182,Hawaii (18-13),-0.9,2019
183,Weber State (18-15),-1.1,2019
184,Gard-Webb (23-11),-1.2,2019
185,Winthrop (18-12),-1.2,2019
186,Iona (17-15),-1.3,2019
187,Sam Hous St (21-11),-1.4,2019
188,Fla Atlantic (17-15),-1.6,2019
189,Charl South (17-15),-1.6,2019
190,Hartford (18-15),-1.7,2019
191,Seattle (18-14),-1.8,2019
192,Wm & Mary (14-17),-1.9,2019
193,NJIT (22-12),-1.9,2019
194,Indiana St (15-16),-1.9,2019
195,N Dakota St (18-15),-1.9,2019
196,App State (11-21),-2,2019
197,Oakland (16-17),-2,2019
198,Wash State (11-21),-2.3,2019
199,U Mass (11-21),-2.3,2019
200,Pacific (14-18),-2.3,2019
201,S Alabama (17-17),-2.3,2019
202,IUPUI (16-17),-2.3,2019
203,Santa Clara (16-15),-2.5,2019
204,Mercer (11-20),-2.5,2019
205,Campbell (20-13),-2.5,2019
206,Ohio (14-17),-2.6,2019
207,Lamar (20-13),-2.6,2019
208,Lg Beach St (15-19),-2.6,2019
209,WI-Grn Bay (17-16),-2.6,2019
210,Hampton (15-16),-2.7,2019
211,Evansville (11-21),-2.7,2019
212,N Florida (16-17),-2.7,2019
213,TX-Pan Am (19-16),-2.8,2019
214,IL-Chicago (16-16),-2.9,2019
215,Presbyterian (18-15),-2.9,2019
216,American (15-15),-2.9,2019
217,La Salle (10-21),-2.9,2019
218,South Dakota (13-17),-3,2019
219,California Baptist (16-14),-3,2019
220,Florida Intl (19-13),-3.1,2019
221,Columbia (10-18),-3.3,2019
222,California (8-23),-3.4,2019
223,Dartmouth (11-19),-3.5,2019
224,E Washingtn (16-18),-3.5,2019
225,UC Davis (11-20),-3.6,2019
226,F Dickinson (21-13),-3.6,2019
227,Maryland BC (21-13),-3.6,2019
228,Quinnipiac (16-15),-3.6,2019
229,CS Bakersfld (16-15),-3.7,2019
230,Middle Tenn (11-21),-3.8,2019
231,Air Force (14-18),-3.8,2019
232,Fla Gulf Cst (14-18),-4.1,2019
233,AR Lit Rock (10-21),-4.1,2019
234,Cornell (15-16),-4.1,2019
235,TX Southern (21-13),-4.2,2019
236,Boston U (15-18),-4.2,2019
237,Delaware (17-16),-4.4,2019
238,Holy Cross (16-17),-4.4,2019
239,Troy (12-18),-4.4,2019
240,High Point (16-15),-4.5,2019
241,Canisius (15-17),-4.7,2019
242,Fordham (12-20),-4.7,2019
243,Army (13-19),-4.8,2019
244,Prairie View (22-13),-4.8,2019
245,Siena (17-16),-4.8,2019
246,NC-Wilmgton (10-23),-4.9,2019
247,St Fran (PA) (18-15),-5,2019
248,Sacred Hrt (15-17),-5.2,2019
249,Drexel (13-19),-5.3,2019
250,E Kentucky (13-18),-5.3,2019
251,Portland St (16-16),-5.3,2019
252,SE Louisiana (17-16),-5.4,2019
253,James Mad (14-19),-5.4,2019
254,Montana St (15-17),-5.4,2019
255,Norfolk St (21-13),-5.5,2019
256,Towson (10-22),-5.5,2019
257,Morehead St (13-20),-5.5,2019
258,Rob Morris (18-16),-5.5,2019
259,Sac State (15-16),-5.6,2019
260,LIU-Brooklyn (16-16),-5.6,2019
261,UMKC (11-21),-5.6,2019
262,Geo Wshgtn (9-24),-5.7,2019
263,W Michigan (8-24),-5.7,2019
264,Arkansas St (13-19),-5.8,2019
265,North Dakota (12-18),-5.8,2019
266,Mass Lowell (15-17),-5.9,2019
267,Marist (12-19),-5.9,2019
268,Albany (12-20),-6,2019
269,Monmouth (14-21),-6,2019
270,S Utah (16-16),-6.1,2019
271,New Orleans (19-13),-6.2,2019
272,Cal St Nrdge (13-21),-6.4,2019
273,Rice (13-19),-6.5,2019
274,Jacksonville (12-20),-6.6,2019
275,E Carolina (10-21),-6.6,2019
276,Fairfield (9-22),-6.6,2019
277,Ste F Austin (14-16),-6.6,2019
278,Tulane (4-27),-6.6,2019
279,Detroit (11-20),-6.7,2019
280,TX El Paso (8-21),-6.7,2019
281,Chattanooga (12-20),-6.9,2019
282,Citadel (12-18),-6.9,2019
283,St Fran (NY) (17-15),-7,2019
284,Loyola-MD (11-21),-7.1,2019
285,Houston Bap (12-18),-7.1,2019
286,NC Central (18-15),-7.2,2019
287,TX A&M-CC (14-18),-7.2,2019
288,Oral Roberts (11-21),-7.3,2019
289,Grambling St (17-16),-7.3,2019
290,Youngs St (12-20),-7.5,2019
291,Charlotte (8-21),-7.6,2019
292,Navy (12-19),-7.6,2019
293,WI-Milwkee (9-22),-7.7,2019
294,St Peters (10-22),-7.7,2019
295,Cleveland St (10-21),-7.7,2019
296,W Illinois (10-21),-7.7,2019
297,Elon (11-21),-7.9,2019
298,Niagara (13-19),-7.9,2019
299,TN Martin (12-19),-8,2019
300,UC Riverside (10-23),-8.1,2019
301,TN State (9-21),-8.1,2019
302,Central Ark (14-19),-8.1,2019
303,N Arizona (10-21),-8.2,2019
304,Wagner (13-17),-8.2,2019
305,W Carolina (7-25),-8.3,2019
306,Lafayette (10-20),-8.4,2019
307,Denver (8-22),-8.5,2019
308,Nicholls St (14-17),-8.7,2019
309,Beth-Cook (14-17),-8.7,2019
310,E Illinois (14-18),-8.9,2019
311,SE Missouri (10-21),-9.1,2019
312,Longwood (15-17),-9.1,2019
313,Idaho State (11-19),-9.1,2019
314,Wyoming (8-24),-9.2,2019
315,Manhattan (11-21),-9.2,2019
316,Howard (17-16),-9.3,2019
317,NC A&T (19-13),-9.4,2019
318,VA Military (11-21),-9.6,2019
319,Portland (7-25),-10.1,2019
320,North Alabama (10-22),-10.1,2019
321,Central Conn (11-20),-10.6,2019
322,TN Tech (8-23),-10.9,2019
323,Binghamton (10-23),-10.9,2019
324,McNeese St (9-22),-11,2019
325,Cal Poly (6-23),-11.4,2019
326,Mt St Marys (9-22),-11.5,2019
327,Ark Pine Bl (13-19),-11.5,2019
328,Bryant (10-20),-11.9,2019
329,Maine (5-27),-11.9,2019
330,Jackson St (13-19),-12,2019
331,Florida A&M (12-19),-12.1,2019
332,Alabama St (12-19),-12.2,2019
333,SIU Edward (10-21),-12.2,2019
334,SC Upstate (6-26),-13.3,2019
335,Southern (7-25),-13.4,2019
336,Stetson (7-24),-13.5,2019
337,Morgan St (9-21),-13.5,2019
338,S Car State (8-26),-13.7,2019
339,N Hampshire (5-24),-13.8,2019
340,NW State (11-20),-14.2,2019
341,Idaho (5-27),-14.3,2019
342,Kennesaw St (6-26),-14.7,2019
343,San Jose St (4-27),-15.1,2019
344,Incar Word (6-25),-15.8,2019
345,Coppin State (8-25),-15.8,2019
346,NC-Asheville (4-27),-16,2019
347,Savannah St (11-20),-16.6,2019
348,Alab A&M (5-27),-16.8,2019
349,Alcorn State (10-21),-17.7,2019
350,Miss Val St (6-26),-18.3,2019
351,Maryland ES (7-25),-19.7,2019
352,Delaware St (6-25),-21.6,2019
353,Chicago St (3-29),-21.7,2019
